measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,145,Kuwait,1,Male,24,15-49 years,468,Testicular cancer,1,Number,2016,1.11802290823,1.69341687965,0.701603108929
1,Deaths,145,Kuwait,3,Both,24,15-49 years,468,Testicular cancer,1,Number,2016,1.11802290823,1.69341687965,0.701603108929
1,Deaths,145,Kuwait,1,Male,24,15-49 years,468,Testicular cancer,2,Percent,2016,0.000799887673547,0.000964916945602,0.000662170521539
1,Deaths,145,Kuwait,3,Both,24,15-49 years,468,Testicular cancer,2,Percent,2016,0.000603851589203,0.000749062295369,0.000473080861273
1,Deaths,145,Kuwait,1,Male,24,15-49 years,468,Testicular cancer,3,Rate,2016,0.073288565528,0.111006754009,0.0459914417182
1,Deaths,145,Kuwait,3,Both,24,15-49 years,468,Testicular cancer,3,Rate,2016,0.0422142992869,0.0639400198769,0.026491124111100002
1,Deaths,175,Burundi,1,Male,24,15-49 years,438,Prostate cancer,1,Number,2016,11.3306133629,18.038110747,3.80574093222
1,Deaths,175,Burundi,3,Both,24,15-49 years,438,Prostate cancer,1,Number,2016,11.3306133629,18.038110747,3.80574093222
1,Deaths,175,Burundi,1,Male,24,15-49 years,438,Prostate cancer,2,Percent,2016,0.000912926875514,0.00139474285001,0.000320854596764
1,Deaths,175,Burundi,3,Both,24,15-49 years,438,Prostate cancer,2,Percent,2016,0.000516430511299,0.000819366003829,0.0001772012611
1,Deaths,175,Burundi,1,Male,24,15-49 years,438,Prostate cancer,3,Rate,2016,0.43770052761600003,0.696810520161,0.147015413963
1,Deaths,175,Burundi,3,Both,24,15-49 years,438,Prostate cancer,3,Rate,2016,0.21426369351600003,0.341103531548,0.0719671638756
1,Deaths,175,Burundi,1,Male,24,15-49 years,468,Testicular cancer,1,Number,2016,7.1457229448,9.65141369922,4.90188285278
1,Deaths,175,Burundi,3,Both,24,15-49 years,468,Testicular cancer,1,Number,2016,7.1457229448,9.65141369922,4.90188285278
1,Deaths,175,Burundi,1,Male,24,15-49 years,468,Testicular cancer,2,Percent,2016,0.000576594208164,0.000748423524286,0.000434483621116
1,Deaths,175,Burundi,3,Both,24,15-49 years,468,Testicular cancer,2,Percent,2016,0.000326130886954,0.000433795100958,0.000240718389071
1,Deaths,175,Burundi,1,Male,24,15-49 years,468,Testicular cancer,3,Rate,2016,0.276038604704,0.372833202677,0.18935927317
1,Deaths,175,Burundi,3,Both,24,15-49 years,468,Testicular cancer,3,Rate,2016,0.13512675280300002,0.182509761882,0.0926953812275
1,Deaths,435,South Sudan,1,Male,24,15-49 years,438,Prostate cancer,1,Number,2016,12.4661808534,21.2368653271,4.16323580843
1,Deaths,435,South Sudan,3,Both,24,15-49 years,438,Prostate cancer,1,Number,2016,12.4661808534,21.2368653271,4.16323580843
1,Deaths,435,South Sudan,1,Male,24,15-49 years,438,Prostate cancer,2,Percent,2016,0.000823957576327,0.00131152988081,0.000287282937975
1,Deaths,435,South Sudan,3,Both,24,15-49 years,438,Prostate cancer,2,Percent,2016,0.000446153130083,0.000719180483832,0.000153327748222
1,Deaths,435,South Sudan,1,Male,24,15-49 years,438,Prostate cancer,3,Rate,2016,0.408649530692,0.696158282265,0.136473582349
1,Deaths,435,South Sudan,3,Both,24,15-49 years,438,Prostate cancer,3,Rate,2016,0.204797791866,0.34888496936700003,0.0683947642516
1,Deaths,435,South Sudan,1,Male,24,15-49 years,468,Testicular cancer,1,Number,2016,5.91257072692,8.76332004704,3.80689039878
1,Deaths,435,South Sudan,3,Both,24,15-49 years,468,Testicular cancer,1,Number,2016,5.91257072692,8.76332004704,3.80689039878
1,Deaths,435,South Sudan,1,Male,24,15-49 years,468,Testicular cancer,2,Percent,2016,0.00039046363256,0.000553859052041,0.000267483421982
1,Deaths,435,South Sudan,3,Both,24,15-49 years,468,Testicular cancer,2,Percent,2016,0.000211440406211,0.000305089207574,0.000141790637255
